transaction_id	vendor_id	vendor_name	amount	currency	transaction_date	invoice_number	description
TXN-10001	VEND-109	Sapphire Security Systems	84500	INR	07-09-2026 07:46	INV-20001	Purchase order payment
TXN-10002	VEND-104	BluePeak Consulting	18500	INR	26-09-2026 16:10	INV-20002	ERP remittance
TXN-10003	VEND-102	Vertex Industrial Systems	56000	INR	18-09-2026 08:24	INV-20003	Purchase order payment
TXN-10004	VEND-108	Metro Facilities Pvt Ltd	18500	INR	25-09-2026 01:10	INV-20004	Supplier invoice settlement
TXN-10005	VEND-107	Prime Components India	8500	INR	19-09-2026 09:56	INV-20005	Purchase order payment
TXN-10006	VEND-100	TechNova India Pvt Ltd	180000	INR	08-09-2026 05:48	INV-20006	Goods receipt settlement
TXN-10007	VEND-101	Global Logistics Solutions	125000	INR	14-09-2026 14:59	INV-20007	ERP remittance
TXN-10008	VEND-107	Prime Components India	42000	INR	01-09-2026 10:22	INV-20008	Goods receipt settlement
TXN-10009	VEND-108	Metro Facilities Pvt Ltd	125000	INR	08-09-2026 18:23	INV-20009	Goods receipt settlement
TXN-10010	VEND-105	Orion Manufacturing Co	18500	INR	12-09-2026 22:40	INV-20010	Supplier invoice settlement
TXN-10011	VEND-106	Nimbus Cloud Services	180000	INR	22-09-2026 15:00	INV-20011	Supplier invoice settlement
TXN-10012	VEND-100	TechNova India Pvt Ltd	56000	INR	18-09-2026 19:18	INV-20012	Supplier invoice settlement
TXN-10013	VEND-103	Apex Office Supplies	56000	INR	15-09-2026 16:35	INV-20013	Purchase order payment
TXN-10014	VEND-101	Global Logistics Solutions	42000	INR	27-09-2026 03:36	INV-20014	ERP remittance
TXN-10015	VEND-101	Global Logistics Solutions	22000	INR	04-09-2026 03:35	INV-20015	ERP remittance
TXN-10016	VEND-108	Metro Facilities Pvt Ltd	12000	INR	13-09-2026 18:19	INV-20016	Goods receipt settlement
TXN-10017	VEND-103	Apex Office Supplies	42000	INR	21-09-2026 11:06	INV-20017	Supplier invoice settlement
TXN-10018	VEND-104	BluePeak Consulting	22000	INR	01-09-2026 14:51	INV-20018	Service invoice payment
TXN-10019	VEND-101	Global Logistics Solutions	15000	INR	04-09-2026 23:35	INV-20019	Service invoice payment
TXN-10020	VEND-100	TechNova India Pvt Ltd	56000	INR	07-09-2026 01:12	INV-20020	ERP remittance
TXN-10021	VEND-102	Vertex Industrial Systems	84500	INR	11-09-2026 03:12	INV-20021	ERP remittance
TXN-10022	VEND-109	Sapphire Security Systems	56000	INR	18-09-2026 11:10	INV-20022	Service invoice payment
